id,icao_code,iata_code,name,type,city_id,country_id,continent_id,latitude_deg,longitude_deg,elevation_ft
4263,SCHR,LGR,Cochrane Airport,medium_airport,9885,35,5,-47.243591,-72.58815,643
4264,SAMM,LGS,Comodoro D.R. Salomón Airport,medium_airport,25141,7,5,-35.493599,-69.574303,4685
4266,KLGU,LGU,Logan-Cache Airport,medium_airport,24009,188,4,41.79119873,-111.8519974,4457
4267,EGKK,LGW,London Gatwick Airport,large_airport,49835,187,3,51.148771,-0.192089,202
4268,HCMJ,LGX,Lugh Ganane Airport,small_airport,24508,162,2,3.8124,42.5459,507
4269,VE-0114,LGY,Lagunillas Airport,small_airport,49836,193,5,10.1239996,-71.23799896,2469
4270,ZUSH,LGZ,Shannan Longzi Airport,small_airport,49837,36,1,28.4225,92.344444,
4272,OPLA,LHE,Allama Iqbal International Airport,large_airport,22766,133,1,31.521601,74.403603,712
4396,VTUL,LOE,Loei Airport,medium_airport,24007,175,1,17.43910027,101.7220001,860
4274,WAJL,LHI,Lereh Airport,small_airport,49838,77,1,-3.0795,139.952,820
4275,ZHGH,LHK,Guangzhou MR Air Base / Guanghua Airport,medium_airport,49839,36,1,32.38866,111.69425,
4276,SNLN,LHN,Linhares Municipal Airport,medium_airport,23800,24,5,-19.355202,-40.07128,138
